alpaca_symbol,security_name,exchange,ETF,Test Issue,qlib_symbol,universe_snapshot_source
CVSA,Covista Inc. Common Shares,NYSE,N,N,CVSA,Nasdaq Trader Symbol Directory
CVU,"CPI Aerostructures, Inc. Common Stock",NYSE American,N,N,CVU,Nasdaq Trader Symbol Directory
CVV,CVD Equipment Corporation - Common Stock,NASDAQ,N,N,CVV,Nasdaq Trader Symbol Directory
CVX,Chevron Corporation Common Stock,NYSE,N,N,CVX,Nasdaq Trader Symbol Directory
CW,Curtiss-Wright Corporation Common Stock,NYSE,N,N,CW,Nasdaq Trader Symbol Directory
CWBC,Community West Bancshares - Common Stock,NASDAQ,N,N,CWBC,Nasdaq Trader Symbol Directory
CWCO,Consolidated Water Co. Ltd. - Ordinary Shares,NASDAQ,N,N,CWCO,Nasdaq Trader Symbol Directory
CWD,CaliberCos Inc. - Class A Common Stock,NASDAQ,N,N,CWD,Nasdaq Trader Symbol Directory
CWEN,"Clearway Energy, Inc. Class C Common Stock",NYSE,N,N,CWEN,Nasdaq Trader Symbol Directory
CWH,"Camping World Holdings, Inc. Class A Common Stock",NYSE,N,N,CWH,Nasdaq Trader Symbol Directory
CWK,Cushman & Wakefield Ltd. Common Shares,NYSE,N,N,CWK,Nasdaq Trader Symbol Directory
CWST,"Casella Waste Systems, Inc. - Class A Common Stock",NASDAQ,N,N,CWST,Nasdaq Trader Symbol Directory
CWT,California Water Service Group Common Stock,NYSE,N,N,CWT,Nasdaq Trader Symbol Directory
CXAI,CXApp Inc. - Class A Common Stock,NASDAQ,N,N,CXAI,Nasdaq Trader Symbol Directory
CXDO,"Crexendo, Inc. - Common Stock",NASDAQ,N,N,CXDO,Nasdaq Trader Symbol Directory
CXII,Churchill Capital Corp XII - Class A Ordinary Shares,NASDAQ,N,N,CXII,Nasdaq Trader Symbol Directory
CXM,"Sprinklr, Inc. Class A Common Stock",NYSE,N,N,CXM,Nasdaq Trader Symbol Directory
CXT,"Crane NXT, Co. Common Stock",NYSE,N,N,CXT,Nasdaq Trader Symbol Directory
CXW,"CoreCivic, Inc. Common Stock",NYSE,N,N,CXW,Nasdaq Trader Symbol Directory
CYAB,"Cyabra, Inc. - Common Stock",NASDAQ,N,N,CYAB,Nasdaq Trader Symbol Directory
CYCN,"Cyclerion Therapeutics, Inc. - Common Stock",NASDAQ,N,N,CYCN,Nasdaq Trader Symbol Directory
CYCU,"Cycurion, Inc. - Common Stock",NASDAQ,N,N,CYCU,Nasdaq Trader Symbol Directory
CYD,China Yuchai International Limited Common Stock,NYSE,N,N,CYD,Nasdaq Trader Symbol Directory
CYH,"Community Health Systems, Inc. Common Stock",NYSE,N,N,CYH,Nasdaq Trader Symbol Directory
CYN,Cyngn Inc. - Common stock,NASDAQ,N,N,CYN,Nasdaq Trader Symbol Directory
CYPH,Cypherpunk Technologies Inc. - Common Stock,NASDAQ,N,N,CYPH,Nasdaq Trader Symbol Directory
CYRX,"CryoPort, Inc. - Common Stock",NASDAQ,N,N,CYRX,Nasdaq Trader Symbol Directory
CYTK,"Cytokinetics, Incorporated - Common Stock",NASDAQ,N,N,CYTK,Nasdaq Trader Symbol Directory
CZFS,"Citizens Financial Services, Inc. - Common Stock",NASDAQ,N,N,CZFS,Nasdaq Trader Symbol Directory
CZNC,Citizens & Northern Corp - Common Stock,NASDAQ,N,N,CZNC,Nasdaq Trader Symbol Directory
CZR,"Caesars Entertainment, Inc. - Common Stock",NASDAQ,N,N,CZR,Nasdaq Trader Symbol Directory
CZWI,"Citizens Community Bancorp, Inc. - Common Stock",NASDAQ,N,N,CZWI,Nasdaq Trader Symbol Directory
D,"Dominion Energy, Inc. Common Stock",NYSE,N,N,D,Nasdaq Trader Symbol Directory
DAC,Danaos Corporation Common Stock,NYSE,N,N,DAC,Nasdaq Trader Symbol Directory
DAIC,"CID HoldCo, Inc. - Common Stock",NASDAQ,N,N,DAIC,Nasdaq Trader Symbol Directory
DAIO,Data I/O Corporation - Common Stock,NASDAQ,N,N,DAIO,Nasdaq Trader Symbol Directory
DAKT,"Daktronics, Inc. - Common Stock",NASDAQ,N,N,DAKT,Nasdaq Trader Symbol Directory
DAL,"Delta Air Lines, Inc. Common Stock",NYSE,N,N,DAL,Nasdaq Trader Symbol Directory
DAN,Dana Incorporated Common Stock ,NYSE,N,N,DAN,Nasdaq Trader Symbol Directory
DAR,Darling Ingredients Inc. Common Stock,NYSE,N,N,DAR,Nasdaq Trader Symbol Directory
DARE,"Dare Bioscience, Inc. - Common Stock",NASDAQ,N,N,DARE,Nasdaq Trader Symbol Directory
DASH,"DoorDash, Inc. - Common Stock",NASDAQ,N,N,DASH,Nasdaq Trader Symbol Directory
DAVE,Dave Inc.  - Class A Common Stock,NASDAQ,N,N,DAVE,Nasdaq Trader Symbol Directory
DB,Deutsche Bank AG Common Stock,NYSE,N,N,DB,Nasdaq Trader Symbol Directory
DBCA,D. Boral Acquisition I Corp. - Class A Ordinary Shares,NASDAQ,N,N,DBCA,Nasdaq Trader Symbol Directory
DBD,Diebold Nixdorf Incorporated Common stock,NYSE,N,N,DBD,Nasdaq Trader Symbol Directory
DBGI,"Digital Brands Group, Inc. - Common Stock",NASDAQ,N,N,DBGI,Nasdaq Trader Symbol Directory
DBI,Designer Brands Inc. Class A Common Stock,NYSE,N,N,DBI,Nasdaq Trader Symbol Directory
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,NYSE,N,N,DBL,Nasdaq Trader Symbol Directory
DBRG,"DigitalBridge Group, Inc.",NYSE,N,N,DBRG,Nasdaq Trader Symbol Directory
DBX,"Dropbox, Inc. - Class A Common Stock",NASDAQ,N,N,DBX,Nasdaq Trader Symbol Directory
DC,Dakota Gold Corp. Common Stock,NYSE American,N,N,DC,Nasdaq Trader Symbol Directory
DCBG,"Dime Commercial Bancshares, Inc. 9.000% Junior Subordinated Notes",NYSE,N,N,DCBG,Nasdaq Trader Symbol Directory
DCBO,Docebo Inc. - Common Shares,NASDAQ,N,N,DCBO,Nasdaq Trader Symbol Directory
DCGO,DocGo Inc. - Common Stock,NASDAQ,N,N,DCGO,Nasdaq Trader Symbol Directory
DCH,Dauch Corporation Common Stock,NYSE,N,N,DCH,Nasdaq Trader Symbol Directory
DCI,"Donaldson Company, Inc. Common Stock",NYSE,N,N,DCI,Nasdaq Trader Symbol Directory
DCO,Ducommun Incorporated Common Stock,NYSE,N,N,DCO,Nasdaq Trader Symbol Directory
DCOM,"Dime Commercial Bancshares, Inc. Common Stock",NYSE,N,N,DCOM,Nasdaq Trader Symbol Directory
DCOY,Decoy Therapeutics Inc. - Common Stock,NASDAQ,N,N,DCOY,Nasdaq Trader Symbol Directory
DCTH,"Delcath Systems, Inc. - Common Stock",NASDAQ,N,N,DCTH,Nasdaq Trader Symbol Directory
DCX,Digital Currency X Technology Inc. - Class A Ordinary Shares,NASDAQ,N,N,DCX,Nasdaq Trader Symbol Directory
DD,"DuPont de Nemours, Inc. Common Stock",NYSE,N,N,DD,Nasdaq Trader Symbol Directory
DDC,DDC Enterprise Limited Class A Ordinary Shares,NYSE American,N,N,DDC,Nasdaq Trader Symbol Directory
DDD,3D Systems Corporation Common Stock,NYSE,N,N,DDD,Nasdaq Trader Symbol Directory
DDI,"DoubleDown Interactive Co., Ltd. - American Depository Shares",NASDAQ,N,N,DDI,Nasdaq Trader Symbol Directory
DDOG,"Datadog, Inc. - Class A Common Stock",NASDAQ,N,N,DDOG,Nasdaq Trader Symbol Directory
DDS,"Dillard's, Inc. Common Stock",NYSE,N,N,DDS,Nasdaq Trader Symbol Directory
DDT,Dillard's Capital Trust I,NYSE,N,N,DDT,Nasdaq Trader Symbol Directory
DE,Deere & Company Common Stock,NYSE,N,N,DE,Nasdaq Trader Symbol Directory
DEA,"Easterly Government Properties, Inc. Common Stock",NYSE,N,N,DEA,Nasdaq Trader Symbol Directory
DEC,Diversified Energy Company Common Stock,NYSE,N,N,DEC,Nasdaq Trader Symbol Directory
DECK,Deckers Outdoor Corporation Common Stock,NYSE,N,N,DECK,Nasdaq Trader Symbol Directory
DEFT,"Defi Technologies, Inc. - Common Stock",NASDAQ,N,N,DEFT,Nasdaq Trader Symbol Directory
DEI,"Douglas Emmett, Inc. Common Stock",NYSE,N,N,DEI,Nasdaq Trader Symbol Directory
DELL,Dell Technologies Inc. Class C Common Stock ,NYSE,N,N,DELL,Nasdaq Trader Symbol Directory
DEO,Diageo plc Common Stock,NYSE,N,N,DEO,Nasdaq Trader Symbol Directory
DERM,Journey Medical Corporation - Common Stock,NASDAQ,N,N,DERM,Nasdaq Trader Symbol Directory
DETX,"Liberty Defense Holdings, Ltd. - Common Shares",NASDAQ,N,N,DETX,Nasdaq Trader Symbol Directory
DFDV,DeFi Development Corp. - Common Stock,NASDAQ,N,N,DFDV,Nasdaq Trader Symbol Directory
DFH,"Dream Finders Homes, Inc. Class A Common Stock",NYSE,N,N,DFH,Nasdaq Trader Symbol Directory
DFIN,"Donnelley Financial Solutions, Inc. Common Stock ",NYSE,N,N,DFIN,Nasdaq Trader Symbol Directory
DFLI,Dragonfly Energy Holdings Corp - Common Stock,NASDAQ,N,N,DFLI,Nasdaq Trader Symbol Directory
DFNS,T3 Defense Inc. - Common Stock,NASDAQ,N,N,DFNS,Nasdaq Trader Symbol Directory
DFSC,"DEFSEC Technologies Inc. - common stock, no R/S concurrent with offering",NASDAQ,N,N,DFSC,Nasdaq Trader Symbol Directory
DFTX,"Definium Therapeutics, Inc.  - Common Shares",NASDAQ,N,N,DFTX,Nasdaq Trader Symbol Directory
DG,Dollar General Corporation Common Stock,NYSE,N,N,DG,Nasdaq Trader Symbol Directory
DGICA,"Donegal Group, Inc. - Class A Common Stock",NASDAQ,N,N,DGICA,Nasdaq Trader Symbol Directory
DGICB,"Donegal Group, Inc. - Class B Common Stock",NASDAQ,N,N,DGICB,Nasdaq Trader Symbol Directory
DGII,Digi International Inc. - Common Stock,NASDAQ,N,N,DGII,Nasdaq Trader Symbol Directory
DGNX,Diginex Limited - Ordinary Shares,NASDAQ,N,N,DGNX,Nasdaq Trader Symbol Directory
DGP,"DB Gold Double Long ETN due February 15, 2038",NYSE Arca,N,N,DGP,Nasdaq Trader Symbol Directory
DGX,Quest Diagnostics Incorporated Common Stock,NYSE,N,N,DGX,Nasdaq Trader Symbol Directory
DGXX,Digi Power X Inc. - Common Subordinate Voting Shares,NASDAQ,N,N,DGXX,Nasdaq Trader Symbol Directory
DGZ,"DB Gold Short ETN due February 15, 2038",NYSE Arca,N,N,DGZ,Nasdaq Trader Symbol Directory
DH,Definitive Healthcare Corp. - Class A Common Stock,NASDAQ,N,N,DH,Nasdaq Trader Symbol Directory
DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,NASDAQ,N,N,DHC,Nasdaq Trader Symbol Directory
DHCNI,Diversified Healthcare Trust  - 5.625% Senior Notes due 2042,NASDAQ,N,N,DHCNI,Nasdaq Trader Symbol Directory
DHCNL,Diversified Healthcare Trust  - 6.25% Senior Notes Due 2046,NASDAQ,N,N,DHCNL,Nasdaq Trader Symbol Directory
DHF,BNY Mellon High Yield Strategies Fund Common Stock,NYSE,N,N,DHF,Nasdaq Trader Symbol Directory
DHI,"D.R. Horton, Inc. Common Stock",NYSE,N,N,DHI,Nasdaq Trader Symbol Directory
DHR,Danaher Corporation Common Stock,NYSE,N,N,DHR,Nasdaq Trader Symbol Directory
DHT,"DHT Holdings, Inc.",NYSE,N,N,DHT,Nasdaq Trader Symbol Directory
DHX,"DHI Group, Inc. Common Stock",NYSE,N,N,DHX,Nasdaq Trader Symbol Directory
DHY,Credit Suisse High Yield Credit Fund Common Stock,NYSE American,N,N,DHY,Nasdaq Trader Symbol Directory
DIBS,"1stdibs.com, Inc. - Common Stock",NASDAQ,N,N,DIBS,Nasdaq Trader Symbol Directory
DIN,"Dine Brands Global, Inc. Common Stock",NYSE,N,N,DIN,Nasdaq Trader Symbol Directory
DINO,HF Sinclair Corporation Common Stock,NYSE,N,N,DINO,Nasdaq Trader Symbol Directory
DIOD,Diodes Incorporated - Common Stock,NASDAQ,N,N,DIOD,Nasdaq Trader Symbol Directory
DIS,Walt Disney Company (The) Common Stock,NYSE,N,N,DIS,Nasdaq Trader Symbol Directory
DIT,AMCON Distributing Company Common Stock,NYSE American,N,N,DIT,Nasdaq Trader Symbol Directory
DJCO,Daily Journal Corp. (S.C.) - Common Stock,NASDAQ,N,N,DJCO,Nasdaq Trader Symbol Directory
DJP,iPath Bloomberg Commodity Index Total Return ETN,NYSE Arca,N,N,DJP,Nasdaq Trader Symbol Directory
DJT,Trump Media & Technology Group Corp. - Common Stock,NASDAQ,N,N,DJT,Nasdaq Trader Symbol Directory
DK,"Delek US Holdings, Inc. Common Stock",NYSE,N,N,DK,Nasdaq Trader Symbol Directory
DKI,DarkIris Inc. - Class A Ordinary Shares,NASDAQ,N,N,DKI,Nasdaq Trader Symbol Directory
DKNG,DraftKings Inc. - Class A Common Stock,NASDAQ,N,N,DKNG,Nasdaq Trader Symbol Directory
DKS,Dick's Sporting Goods Inc Common Stock,NYSE,N,N,DKS,Nasdaq Trader Symbol Directory
DLB,Dolby Laboratories Common Stock,NYSE,N,N,DLB,Nasdaq Trader Symbol Directory
DLHC,DLH Holdings Corp. - Common Stock,NASDAQ,N,N,DLHC,Nasdaq Trader Symbol Directory
DLO,DLocal Limited - Class A Common Shares,NASDAQ,N,N,DLO,Nasdaq Trader Symbol Directory
DLPN,"Dolphin Entertainment, Inc. - Common Stock",NASDAQ,N,N,DLPN,Nasdaq Trader Symbol Directory
DLR,"Digital Realty Trust, Inc. Common Stock",NYSE,N,N,DLR,Nasdaq Trader Symbol Directory
DLTH,Duluth Holdings Inc. - Class B Common Stock,NASDAQ,N,N,DLTH,Nasdaq Trader Symbol Directory
DLTR,"Dollar Tree, Inc. - Common Stock",NASDAQ,N,N,DLTR,Nasdaq Trader Symbol Directory
DLX,Deluxe Corporation Common Stock,NYSE,N,N,DLX,Nasdaq Trader Symbol Directory
DLXY,Delixy Holdings Limited - Class A Ordinary Shares,NASDAQ,N,N,DLXY,Nasdaq Trader Symbol Directory
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,NYSE,N,N,DLY,Nasdaq Trader Symbol Directory
DMA,Destra Multi-Alternative Fund Common Stock,NYSE,N,N,DMA,Nasdaq Trader Symbol Directory
DMAC,DiaMedica Therapeutics Inc. - Common Stock,NASDAQ,N,N,DMAC,Nasdaq Trader Symbol Directory
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. Common Stock",NYSE,N,N,DMB,Nasdaq Trader Symbol Directory
DMC,Del Monte Corporation Ordinary Shares,NYSE,N,N,DMC,Nasdaq Trader Symbol Directory
DMII,Drugs Made In America Acquisition II Corp. - Ordinary Shares,NASDAQ,N,N,DMII,Nasdaq Trader Symbol Directory
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,NYSE,N,N,DMO,Nasdaq Trader Symbol Directory
DMRA,"Damora Therapeutics, Inc. - Ordinary Shares",NASDAQ,N,N,DMRA,Nasdaq Trader Symbol Directory
DMRC,Digimarc Corporation - Common Stock,NASDAQ,N,N,DMRC,Nasdaq Trader Symbol Directory
DNA,"Ginkgo Bioworks Holdings, Inc. Class A Common Stock",NYSE,N,N,DNA,Nasdaq Trader Symbol Directory
DNLI,Denali Therapeutics Inc. - Common Stock,NASDAQ,N,N,DNLI,Nasdaq Trader Symbol Directory
DNMX,Dynamix Corporation III - Class A Ordinary Shares,NASDAQ,N,N,DNMX,Nasdaq Trader Symbol Directory
DNN,Denison Mines Corp Ordinary Shares (Canada),NYSE American,N,N,DNN,Nasdaq Trader Symbol Directory
DNOW,DNOW Inc. Common Stock,NYSE,N,N,DNOW,Nasdaq Trader Symbol Directory
DNP,"DNP Select Income Fund, Inc. Common Stock",NYSE,N,N,DNP,Nasdaq Trader Symbol Directory
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",NASDAQ,N,N,DNTH,Nasdaq Trader Symbol Directory
DNUT,"Krispy Kreme, Inc. - Common Stock",NASDAQ,N,N,DNUT,Nasdaq Trader Symbol Directory
DOC,"Healthpeak Properties, Inc. Common Stock",NYSE,N,N,DOC,Nasdaq Trader Symbol Directory
DOCN,"DigitalOcean Holdings, Inc. Common Stock",NYSE,N,N,DOCN,Nasdaq Trader Symbol Directory
DOCS,"Doximity, Inc. Class A Common Stock",NYSE,N,N,DOCS,Nasdaq Trader Symbol Directory
DOCU,"DocuSign, Inc. - Common Stock",NASDAQ,N,N,DOCU,Nasdaq Trader Symbol Directory
DOGZ,Dogness (International) Corporation - Class A Common Stock,NASDAQ,N,N,DOGZ,Nasdaq Trader Symbol Directory
DOLE,Dole plc Ordinary Shares,NYSE,N,N,DOLE,Nasdaq Trader Symbol Directory
DOMH,Dominari Holdings Inc. - Common Stock,NASDAQ,N,N,DOMH,Nasdaq Trader Symbol Directory
DOMO,"Domo, Inc. - Class B Common Stock",NASDAQ,N,N,DOMO,Nasdaq Trader Symbol Directory
DOO,BRP Inc. - Common Subordinate Voting Shares,NASDAQ,N,N,DOO,Nasdaq Trader Symbol Directory
DORM,"Dorman Products, Inc. - Common Stock",NASDAQ,N,N,DORM,Nasdaq Trader Symbol Directory
DOUG,Douglas Elliman Inc. Common Stock,NYSE,N,N,DOUG,Nasdaq Trader Symbol Directory
DOV,Dover Corporation Common Stock,NYSE,N,N,DOV,Nasdaq Trader Symbol Directory
DOW,Dow Inc. Common Stock ,NYSE,N,N,DOW,Nasdaq Trader Symbol Directory
DOX,Amdocs Limited - Ordinary Shares,NASDAQ,N,N,DOX,Nasdaq Trader Symbol Directory
DPC,DPC Holdings PLC Ordinary Shares,NYSE,N,N,DPC,Nasdaq Trader Symbol Directory
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,NYSE,N,N,DPG,Nasdaq Trader Symbol Directory
DPRO,Draganfly Inc. - Common Shares,NASDAQ,N,N,DPRO,Nasdaq Trader Symbol Directory
DPU,Top KingWin Ltd - Class A Ordinary Shares,NASDAQ,N,N,DPU,Nasdaq Trader Symbol Directory
DPZ,Domino's Pizza Inc - Common Stock,NASDAQ,N,N,DPZ,Nasdaq Trader Symbol Directory
DRCT,"Direct Digital Holdings, Inc. - Class A Common Stock",NASDAQ,N,N,DRCT,Nasdaq Trader Symbol Directory
DRH,Diamondrock Hospitality Company - Common Stock,NASDAQ,N,N,DRH,Nasdaq Trader Symbol Directory
DRI,"Darden Restaurants, Inc. Common Stock",NYSE,N,N,DRI,Nasdaq Trader Symbol Directory
DRIO,DarioHealth Corp. - Common Stock,NASDAQ,N,N,DRIO,Nasdaq Trader Symbol Directory
DRMA,"Dermata Therapeutics, Inc. - Common Stock",NASDAQ,N,N,DRMA,Nasdaq Trader Symbol Directory
DRS,"Leonardo DRS, Inc. - Common Stock",NASDAQ,N,N,DRS,Nasdaq Trader Symbol Directory
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,NASDAQ,N,N,DRTS,Nasdaq Trader Symbol Directory
DRUG,Bright Minds Biosciences Inc. - common stock,NASDAQ,N,N,DRUG,Nasdaq Trader Symbol Directory
DRVN,Driven Brands Holdings Inc. - Common Stock,NASDAQ,N,N,DRVN,Nasdaq Trader Symbol Directory
DSGN,"Design Therapeutics, Inc. - Common Stock",NASDAQ,N,N,DSGN,Nasdaq Trader Symbol Directory
DSGR,"Distribution Solutions Group, Inc. - Common Stock",NASDAQ,N,N,DSGR,Nasdaq Trader Symbol Directory
DSGX,The Descartes Systems Group Inc. - Common Stock,NASDAQ,N,N,DSGX,Nasdaq Trader Symbol Directory
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,NYSE,N,N,DSL,Nasdaq Trader Symbol Directory
DSM,"BNY Mellon Strategic Municipal Bond Fund, Inc. Common Stock",NYSE,N,N,DSM,Nasdaq Trader Symbol Directory
DSP,Viant Technology Inc. - common stock,NASDAQ,N,N,DSP,Nasdaq Trader Symbol Directory
DSS,"DSS, Inc. Common Stock",NYSE American,N,N,DSS,Nasdaq Trader Symbol Directory
DSU,"Blackrock Debt Strategies Fund, Inc. Common Stock",NYSE,N,N,DSU,Nasdaq Trader Symbol Directory
DSWL,"Deswell Industries, Inc. - Common Shares",NASDAQ,N,N,DSWL,Nasdaq Trader Symbol Directory
DSX,Diana Shipping inc. common stock,NYSE,N,N,DSX,Nasdaq Trader Symbol Directory
DSY,Big Tree Cloud Holdings Limited - Class A Ordinary Shares,NASDAQ,N,N,DSY,Nasdaq Trader Symbol Directory
DT,"Dynatrace, Inc. Common Stock",NYSE,N,N,DT,Nasdaq Trader Symbol Directory
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,NYSE,N,N,DTB,Nasdaq Trader Symbol Directory
DTCX,"Datacentrex, Inc. - Common Stock",NASDAQ,N,N,DTCX,Nasdaq Trader Symbol Directory
DTE,DTE Energy Company Common Stock,NYSE,N,N,DTE,Nasdaq Trader Symbol Directory
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,NYSE,N,N,DTF,Nasdaq Trader Symbol Directory
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,NYSE,N,N,DTG,Nasdaq Trader Symbol Directory
DTI,Drilling Tools International Corporation  - Common Stock,NASDAQ,N,N,DTI,Nasdaq Trader Symbol Directory
DTIL,"Precision BioSciences, Inc. - Common Stock",NASDAQ,N,N,DTIL,Nasdaq Trader Symbol Directory
DTK,DTE Energy Company 2025 Series H 6.25% Junior Subordinated Debentures due 2085,NYSE,N,N,DTK,Nasdaq Trader Symbol Directory
DTM,"DT Midstream, Inc. Common Stock ",NYSE,N,N,DTM,Nasdaq Trader Symbol Directory
DTSS,Datasea Intelligent Technology Ltd. - Class A Ordinary Shares,NASDAQ,N,N,DTSS,Nasdaq Trader Symbol Directory
DTST,Data Storage Corporation - Common Stock,NASDAQ,N,N,DTST,Nasdaq Trader Symbol Directory
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,NYSE,N,N,DTW,Nasdaq Trader Symbol Directory
DUK,Duke Energy Corporation (Holding Company) Common Stock,NYSE,N,N,DUK,Nasdaq Trader Symbol Directory
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,NYSE,N,N,DUKB,Nasdaq Trader Symbol Directory
DUKR,DUKE Robotics Corp. - Common Stock,NASDAQ,N,N,DUKR,Nasdaq Trader Symbol Directory
DUO,Fangdd Network Group Ltd. - Class A Ordinary Shares,NASDAQ,N,N,DUO,Nasdaq Trader Symbol Directory
DUOL,"Duolingo, Inc. - Class A Common Stock",NASDAQ,N,N,DUOL,Nasdaq Trader Symbol Directory
DUOT,"Duos Technologies Group, Inc. - Common Stock",NASDAQ,N,N,DUOT,Nasdaq Trader Symbol Directory
DV,"DoubleVerify Holdings, Inc. Common Stock",NYSE,N,N,DV,Nasdaq Trader Symbol Directory
DVA,DaVita Inc. Common Stock,NYSE,N,N,DVA,Nasdaq Trader Symbol Directory
DVLT,Datavault AI Inc. - Common Stock,NASDAQ,N,N,DVLT,Nasdaq Trader Symbol Directory
DVN,Devon Energy Corporation Common Stock,NYSE,N,N,DVN,Nasdaq Trader Symbol Directory
DWSN,Dawson Geophysical Company - Common Stock,NASDAQ,N,N,DWSN,Nasdaq Trader Symbol Directory
DWTX,"Dogwood Therapeutics, Inc.  - Common Stock",NASDAQ,N,N,DWTX,Nasdaq Trader Symbol Directory
DX,"Dynex Capital, Inc. Common Stock",NYSE,N,N,DX,Nasdaq Trader Symbol Directory
DXC,DXC Technology Company Common Stock ,NYSE,N,N,DXC,Nasdaq Trader Symbol Directory
DXCM,"DexCom, Inc. - Common Stock",NASDAQ,N,N,DXCM,Nasdaq Trader Symbol Directory
DXLG,"Destination XL Group, Inc. - Common Stock",NASDAQ,N,N,DXLG,Nasdaq Trader Symbol Directory
DXPE,"DXP Enterprises, Inc. - Common Stock",NASDAQ,N,N,DXPE,Nasdaq Trader Symbol Directory
DXR,Daxor Corporation - Closed End Fund,NASDAQ,N,N,DXR,Nasdaq Trader Symbol Directory
DXST,Decent Holding Inc. - Class A Ordinary Shares,NASDAQ,N,N,DXST,Nasdaq Trader Symbol Directory
DXYZ,Destiny Tech100 Inc. Common Stock,NYSE,N,N,DXYZ,Nasdaq Trader Symbol Directory
DY,"Dycom Industries, Inc. Common Stock",NYSE,N,N,DY,Nasdaq Trader Symbol Directory
DYAI,"Dyadic International, Inc. - Common Stock",NASDAQ,N,N,DYAI,Nasdaq Trader Symbol Directory
DYN,"Dyne Therapeutics, Inc. - Common Stock",NASDAQ,N,N,DYN,Nasdaq Trader Symbol Directory
DYNC,Dynamix Corporation - Class A Ordinary Share,NASDAQ,N,N,DYNC,Nasdaq Trader Symbol Directory
DYOR,Insight Digital Partners II - Class A Ordinary Shares,NASDAQ,N,N,DYOR,Nasdaq Trader Symbol Directory
DZZ,"DB Gold Double Short ETN due February 15, 2038",NYSE Arca,N,N,DZZ,Nasdaq Trader Symbol Directory
E,ENI S.p.A. Common Stock,NYSE,N,N,E,Nasdaq Trader Symbol Directory
EAD,Allspring Income Opportunities Fund Common Shares,NYSE American,N,N,EAD,Nasdaq Trader Symbol Directory
EAF,GrafTech International Ltd. Common Stock,NYSE,N,N,EAF,Nasdaq Trader Symbol Directory
EAI,"Entergy Arkansas, LLC First Mortgage Bonds, 4.875% Series Due September 1, 2066",NYSE,N,N,EAI,Nasdaq Trader Symbol Directory
EARN,Ellington Credit Company Common Shares of Beneficial Interest,NYSE,N,N,EARN,Nasdaq Trader Symbol Directory
EAT,"Brinker International, Inc. Common Stock",NYSE,N,N,EAT,Nasdaq Trader Symbol Directory
EBAY,eBay Inc. - Common Stock,NASDAQ,N,N,EBAY,Nasdaq Trader Symbol Directory
EBC,"Eastern Bankshares, Inc. - Common Stock",NASDAQ,N,N,EBC,Nasdaq Trader Symbol Directory
EBF,"Ennis, Inc. Common Stock",NYSE,N,N,EBF,Nasdaq Trader Symbol Directory
EBMT,"Eagle Bancorp Montana, Inc. - Common Stock",NASDAQ,N,N,EBMT,Nasdaq Trader Symbol Directory
EBON,Ebang International Holdings Inc. - Class A Ordinary Shares,NASDAQ,N,N,EBON,Nasdaq Trader Symbol Directory
EBS,Emergent BioSolutions Inc. Common Stock,NYSE,N,N,EBS,Nasdaq Trader Symbol Directory
ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,NYSE,N,N,ECAT,Nasdaq Trader Symbol Directory
ECBK,"ECB Bancorp, Inc. - Common Stock",NASDAQ,N,N,ECBK,Nasdaq Trader Symbol Directory
ECC,Eagle Point Credit Company Common Share of Beneficial Interest,NYSE,N,N,ECC,Nasdaq Trader Symbol Directory
ECCU,Eagle Point Credit Company 7.75% Notes due 2030,NYSE,N,N,ECCU,Nasdaq Trader Symbol Directory
ECCV,Eagle Point Credit Company 5.375% Notes due 2029,NYSE,N,N,ECCV,Nasdaq Trader Symbol Directory
ECF,Ellsworth Growth and Income Fund Ltd.,NYSE American,N,N,ECF,Nasdaq Trader Symbol Directory
ECG,"Everus Construction Group, Inc. Common Stock",NYSE,N,N,ECG,Nasdaq Trader Symbol Directory
ECHO,EchoStar Corporation - Common stock,NASDAQ,N,N,ECHO,Nasdaq Trader Symbol Directory
ECL,Ecolab Inc. Common Stock,NYSE,N,N,ECL,Nasdaq Trader Symbol Directory
ECO,Okeanis Eco Tankers Corp. Common Stock,NYSE,N,N,ECO,Nasdaq Trader Symbol Directory
ECOR,"electroCore, Inc. - Common Stock",NASDAQ,N,N,ECOR,Nasdaq Trader Symbol Directory
ECPG,Encore Capital Group Inc - Common Stock,NASDAQ,N,N,ECPG,Nasdaq Trader Symbol Directory
