alpaca_symbol,qlib_symbol,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,universe_snapshot_source
DIS,DIS,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1744489,1923,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DLR,DLR,DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",2016-05-18,1297996,2004,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DLTR,DLTR,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2011-12-19,935703,1986,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DOC,DOC,DOC,Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado",2008-03-31,765880,1985,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DOV,DOV,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985-10-31,29905,1955,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DOW,DOW,DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,1751788,2019 (1897),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DPZ,DPZ,DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DRI,DRI,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1995-05-31,940944,1938,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DTE,DTE,DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,936340,1995,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DUK,DUK,DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DVA,DVA,DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",2008-07-31,927066,1979,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DVN,DVN,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1090012,1971,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
DXCM,DXCM,DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,1093557,1999,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EBAY,EBAY,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,"San Jose, California",2002-07-22,1065088,1995,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ECHO,ECHO,ECHO,EchoStar,Communication Services,Wireless Telecommunication Services,"Englewood, Colorado",2026-03-23,1415404,2008,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ECL,ECL,ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,31462,1923,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ED,ED,ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",1957-03-04,1047862,1823,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EFX,EFX,EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,33185,1899,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EG,EG,EG,Everest Group,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,1095073,1973,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EIX,EIX,EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EL,EL,EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",2006-01-05,1001250,1946,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ELV,ELV,ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,1156039,2014 (1946),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EME,EME,EME,Emcor,Industrials,Construction & Engineering,"Norwalk, Connecticut",2025-09-22,105634,1994,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EMR,EMR,EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,32604,1890,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EOG,EOG,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,821189,1999,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EQIX,EQIX,EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",2015-03-20,1101239,1998,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EQT,EQT,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,33213,1888,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ERIE,ERIE,ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,922621,1925,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ES,ES,ES,Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut",2009-07-24,72741,1966,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ESS,ESS,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",2014-04-02,920522,1971,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ETN,ETN,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1957-03-04,1551182,1911,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ETR,ETR,ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,65984,1913,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EVRG,EVRG,EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,1711269,1909,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EW,EW,EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,1099800,1958,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EXC,EXC,EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",1957-03-04,1109357,2000,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EXE,EXE,EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2025-03-24,895126,1989,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EXPD,EXPD,EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,746515,1979,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EXPE,EXPE,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",2007-10-02,1324424,1996,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
EXR,EXR,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",2016-01-19,1289490,1977,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
F,F,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FANG,FANG,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,1539838,2007,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FAST,FAST,FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",2008-09-15,815556,1967,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FCX,FCX,FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",2011-07-01,831259,1912,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FDS,FDS,FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",2021-12-20,1013237,1978,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FDX,FDX,FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,1048911,1971,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FDXF,FDXF,FDXF,FedEx Freight,Industrials,Cargo Ground Transportation,"Memphis, Tennessee",2026-06-01,2082247,1982,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FE,FE,FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",1997-11-28,1031296,1997,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FERG,FERG,FERG,Ferguson Enterprises,Industrials,Building Products,"Newport News, Virginia",2026-08-05,2011641,1953,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FFIV,FFIV,FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,1048695,1996,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FICO,FICO,FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",2023-03-20,814547,1956,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FIS,FIS,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1136893,1968,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FISV,FISV,FISV,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",2001-04-02,798354,1984,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FITB,FITB,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1996-03-29,35527,1858,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FIX,FIX,FIX,Comfort Systems USA,Industrials,Construction & Engineering,"Houston, Texas",2025-12-22,1035983,1997,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FLEX,FLEX,FLEX,Flex Ltd.,Information Technology,Electronic Manufacturing Services,"Austin, Texas",2026-06-22,866374,1969,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FOX,FOX,FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FOXA,FOXA,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-19,1754301,2019,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FRT,FRT,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,34903,1962,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FSLR,FSLR,FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",2022-12-19,1274494,1999,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FTNT,FTNT,FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2018-10-11,1262039,2000,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
FTV,FTV,FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",2016-07-01,1659166,2016,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GD,GD,GD,General Dynamics,Industrials,Aerospace & Defense,"Reston, Virginia",1957-03-04,40533,1899,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GDDY,GDDY,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",2024-06-24,1609711,1997,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GE,GE,GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",1957-03-04,40545,1892,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GEHC,GEHC,GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",2023-01-04,1932393,1994,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GEN,GEN,GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",2003-03-25,849399,1982,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GEV,GEV,GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",2024-04-02,1996810,2024,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GILD,GILD,GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",2004-07-01,882095,1987,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GIS,GIS,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1957-03-04,40704,1856,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GL,GL,GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,320335,1900,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GLW,GLW,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GM,GM,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858,1908,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GNRC,GNRC,GNRC,Generac,Industrials,Heavy Electrical Equipment,"Waukesha, Wisconsin",2021-03-22,1474735,1959,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GOOG,GOOG,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GOOGL,GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GPC,GPC,GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",1973-12-31,40987,1925,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GPN,GPN,GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2016-04-25,1123360,2000,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GRMN,GRMN,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GS,GS,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",2002-07-22,886982,1869,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
GWW,GWW,GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1981-06-30,277135,1927,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HAL,HAL,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,45012,1919,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HAS,HAS,HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,46080,1923,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HBAN,HBAN,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HCA,HCA,HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-01-27,860730,1968,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HD,HD,HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950,1978,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HIG,HIG,HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04,874766,1810,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HII,HII,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2018-01-03,1501585,2011,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HLT,HLT,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19,1585689,1919,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HON,HON,HON,Honeywell Technologies,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1957-03-04,773840,1906,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HONA,HONA,HONA,Honeywell Aerospace,Industrials,Aerospace & Defense,"Phoenix, Arizona",2026-06-29,2089271,1914,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HOOD,HOOD,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,"Menlo Park, California",2025-09-22,1783879,2013,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HPE,HPE,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02,1645590,2015,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HPQ,HPQ,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,47217,1939 (2015),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HRL,HRL,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,48465,1891,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HSIC,HSIC,HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",2015-03-17,1000228,1932,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HST,HST,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,1070750,1993,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HSY,HSY,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04,47111,1894,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HUBB,HUBB,HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",2023-10-18,48898,1888,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HUM,HUM,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071,1961,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
HWM,HWM,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",2016-10-21,4281,1888,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
IBKR,IBKR,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,"Greenwich, Connecticut",2025-08-28,1381197,1977,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
IBM,IBM,IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,51143,1911,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ICE,ICE,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,1571949,2000,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
IDXX,IDXX,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,874716,1983,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
IEX,IEX,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Northbrook, Illinois",2019-08-09,832101,1988,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
IFF,IFF,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1976-03-31,51253,1958 (1889),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
INCY,INCY,INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28,879169,1991,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
INTC,INTC,INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,50863,1968,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
INTU,INTU,INTU,Intuit,Information Technology,Application Software,"Mountain View, California",2000-12-05,896878,1983,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
INVH,INVH,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",2022-09-19,1687229,2012,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
IP,IP,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434,1898,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
IQV,IQV,IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,1478242,1982,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
IR,IR,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",2020-03-03,1699150,1859,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
IRM,IRM,IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Portsmouth, New Hampshire",2009-01-06,1020569,1951,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ISRG,ISRG,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,1035267,1995,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
IT,IT,IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251,1979,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
ITW,ITW,ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1986-02-28,49826,1912,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
IVZ,IVZ,IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,914208,1935,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
J,J,J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,52988,1947,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
JBHT,JBHT,JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",2015-07-01,728535,1961,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
JBL,JBL,JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",2023-12-18,898293,1966,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
JCI,JCI,JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",2010-08-27,833444,1885,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
JKHY,JKHY,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",2018-11-13,779152,1976,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
JNJ,JNJ,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
JPM,JPM,JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975-06-30,19617,2000 (1799 / 1871),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
KDP,KDP,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",2022-06-21,1418135,1981,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
KEY,KEY,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
KEYS,KEYS,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,1601046,2014 (1939),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
KHC,KHC,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
KIM,KIM,KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",2006-04-04,879101,1958,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
KKR,KKR,KKR,KKR & Co.,Financials,Asset Management & Custody Banks,"New York City, New York",2024-06-24,1404912,1976,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
KLAC,KLAC,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",1997-09-30,319201,1975/1977 (1997),https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
KMB,KMB,KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,55785,1872,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
KMI,KMI,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307,1997,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
KO,KO,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,21344,1886,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
KR,KR,KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873,1883,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv
